LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID1171598 ? ID1172107,0,1171598,1172107,0.05616678359917926,2.493867081144856,0.23864053558690868,0.23864053558690868,44.5,181.20959043282414,171.2170473462593,0.0,
ID1167876 ? ID1167877,0,1167876,1167877,0.1548645107908746,0.6997937845137077,0.7368822145209967,0.7368822145209967,24.5,192.4317367483446,184.5019360693758,0.0,
ID1166402 ? ID1166264,0,1166402,1166264,0.10810169089089017,1.6149827070920955,0.8058003003013355,0.8058003003013355,8.5,190.0863453815261,171.67469879518075,0.0,
ID1167864 ? ID1167861,0,1167864,1167861,0.13821416353062388,0.4337116582749115,0.5446503777934196,0.5446503777934196,24.5,182.63221692301192,166.4536920541105,0.0,
ID1168184 ? ID1167834,0,1168184,1167834,0.5322033898305085,2.711213135850251,9.396667713185778,9.396667713185778,22.5,185.5182832948422,170.04561200923789,0.0,
ID1174975 ? ID1174887,0,1174975,1174887,0.10256182700272287,1.659629830444838,0.2632128063243242,0.2632128063243242,57.5,176.77397609891528,168.56248426425702,0.0,
ID1165591 ? ID1165588,0,1165591,1165588,0.0728051391862955,2.4070603745919397,0.26884145497315226,0.26884145497315226,2.5,190.83398439969153,169.93175497149213,0.0,
ID1167661 ? ID1168184,0,1167661,1168184,0.0668226915732063,0.6877043628044861,0.04964446845928261,0.04964446845928261,21.5,188.06267227892425,173.96850200260394,0.0,
ID1167888 ? ID1167326,0,1167888,1167326,0.08356435643565463,1.2606819380494003,0.4445272216563077,0.4445272216563077,18.5,188.61332246120395,172.9171887340123,0.0,
ID1165588 ? ID1165598,0,1165588,1165598,0.11943851429215346,0.7564834864546058,0.37363837632035224,0.37363837632035224,3.5,190.5481378695995,170.02000605292312,0.0,
ID1172958 ? ID1173064,0,1172958,1173064,0.5567567567567567,0.2436524337159334,9.870430020652812,9.870430020652812,50.5,181.25900787665495,178.7952205266219,0.0,
ID1173048 ? ID1173286,0,1173048,1173286,0.1759834368530021,2.528095191891727,0.8291805275129055,0.8291805275129055,51.5,179.7265520875306,166.13759397589945,0.0,
ID1172748 ? ID1172453,0,1172748,1172453,0.1566991191469509,0.07691276221973296,1.666106939182642,1.666106939182642,48.5,193.42623626904128,204.828527842605,0.0,
ID1167211 ? ID1167524,0,1167211,1167524,0.07509889609180198,0.006568869482214759,0.19969966011574256,0.19969966011574256,16.5,188.72616451602147,172.47861163904727,0.0,
ID1170395 ? ID1170229,0,1170395,1170229,0.16862170087976536,1.4688262491360689,0.9048785163054468,0.9048785163054468,36.5,190.28977036922709,192.1953709420178,0.0,
ID1171407 ? ID1171646,0,1171407,1171646,0.14110119548742617,0.7755819989063352,1.0287403785801348,1.0287403785801348,43.5,192.0070279493013,198.5452858943678,0.0,
ID1169455 ? ID1169737,0,1169455,1169737,0.05260888313930856,1.0158102870538381,0.2616298068829805,0.2616298068829805,33.5,190.10793060524279,190.3973686688006,0.0,
ID1168913 ? ID1169309,0,1168913,1169309,0.08334292621161021,1.0949761487654062,0.36434280083645365,0.36434280083645365,31.5,180.85724496426252,168.69010721247565,0.0,
ID1171110 ? ID1171354,0,1171110,1171354,0.07460674157302738,0.1084946684292081,0.6052078541435794,0.6052078541435794,42.5,181.04963904582547,170.28101067168865,0.0,
ID1169309 ? ID1169437,0,1169309,1169437,0.06427404533388503,2.2767852987560966,0.11528506268056327,0.11528506268056327,32.5,180.8183816622731,168.83630276035512,0.0,
ID1175011 ? ID1174918,0,1175011,1174918,0.09690996940506214,0.24511977395083034,0.3612776629488005,0.3612776629488005,57.5,184.26553659575535,190.1347941567065,0.0,
ID1172958 ? ID1173048,0,1172958,1173048,0.5101175239625564,2.8446518579299154,8.160809006800408,8.160809006800408,50.5,180.42018928783637,169.82189292829432,0.0,
ID1172453 ? ID1172992,0,1172453,1172992,0.6183893694818479,0.18006117983304704,10.678152032045594,10.678152032045594,49.5,197.11581304621822,209.761923242538,0.0,
ID1172453 ? ID1172982,0,1172453,1172982,0.5252669039145975,2.790282008265127,7.33917678572708,7.33917678572708,49.5,191.08889644746787,203.10916855631143,0.0,
ID1166250 ? ID1166679,0,1166250,1166679,0.08620442946406215,0.8681617454124239,0.3671492391033543,0.3671492391033543,13.5,189.53274612119134,172.35421115735545,0.0,
ID1173314 ? ID1173630,0,1173314,1173630,0.20242282141459977,0.12906140020220558,1.3970214127939504,1.3970214127939504,52.5,189.1816636957813,204.18603683897803,0.0,
ID1171438 ? ID1172740,0,1171438,1172740,0.07284198451390078,0.5199062203255944,0.7407867224756886,0.7407867224756886,47.5,181.03192326951807,172.31827861852202,0.0,
ID1170690 ? ID1171110,0,1170690,1171110,0.04815643989584539,0.19357820266486053,0.1475253322078306,0.1475253322078306,41.5,180.88182344276095,169.94451809764308,0.0,
ID1173072 ? ID1173314,0,1173072,1173314,0.23486238532109704,0.21068070514991113,1.5962465581648375,1.5962465581648375,51.5,189.01192309321135,202.70218100199043,0.0,
ID1170196 ? ID1170135,0,1170196,1170135,0.0854185508994052,3.0377736424306656,0.5694700705771585,0.5694700705771585,37.5,180.741283659796,169.07527134098635,0.0,
ID1174962 ? ID1175084,0,1174962,1175084,0.14986358733583582,1.8099253588091337,0.7311781219268401,0.7311781219268401,58.5,207.71737343608993,227.89825175368355,0.0,
ID1165728 ? ID1166051,0,1165728,1166051,0.09878232316324231,0.6831830661098129,0.4341702589261153,0.4341702589261153,5.5,190.4723126258483,170.59817883511073,0.0,
ID1171496 ? ID1172748,0,1171496,1172748,0.13485753657749056,0.18840447012660444,1.64507643599168,1.64507643599168,47.5,192.70949259935117,203.3374842862936,0.0,
ID1172151 ? ID1171668,0,1172151,1171668,0.1806615776081394,0.5051072880329454,1.2394809730783083,1.2394809730783083,45.5,192.27527017407624,200.9646260704502,0.0,
ID1172740 ? ID1172437,0,1172740,1172437,0.07411630558722915,0.4678091540743821,0.3370158767515423,0.3370158767515423,48.5,181.02096457540267,172.84447510658447,0.0,
ID1173923 ? ID1173997,0,1173923,1173997,0.29202453987730825,0.01571140884980247,2.4339062160929097,2.4339062160929097,54.5,204.53725665488645,222.76863143158243,0.0,
ID1173918 ? ID1173992,0,1173918,1173992,0.16308616308616308,0.15658876469362873,1.3420437048736356,1.3420437048736356,54.5,189.92023017418586,207.27993616791082,0.0,
ID1166679 ? ID1166868,0,1166679,1166868,0.1399193965071932,1.5241174124534964,0.5421940374548087,0.5421940374548087,14.5,189.2734279827166,172.14304357964062,0.0,
ID1168915 ? ID1169183,0,1168915,1169183,0.108065271705166,0.3123707058757804,0.6488207639872446,0.6488207639872446,29.5,190.3122157032384,188.43160822603664,0.0,
ID1168579 ? ID1168453,0,1168579,1168453,0.12929421222951398,0.26626628316152257,0.5289375792981692,0.5289375792981692,26.5,182.10325394514828,166.90717592809983,0.0,
ID1174918 ? ID1175039,0,1174918,1175039,0.10118309373081225,1.352580705366831,0.2997424604208837,0.2997424604208837,58.5,184.29820644163274,190.39120441311678,0.0,
ID1172992 ? ID1173076,0,1172992,1173076,0.224038902004991,0.08605679806044743,1.7781027277396815,1.7781027277396815,50.5,200.9035033479125,214.70235252072,0.0,
ID1168463 ? ID1168621,0,1168463,1168621,0.14880501784361333,0.6380651318713934,0.8275262030428439,0.8275262030428439,27.5,191.23558632282035,186.99065628640096,0.0,
